queryString,relevant_cols,songIDs
high tempo upbeat music ,"danceability,energy","[27656, 28171, 28333, 5265, 27511, 27961, 4792, 20823, 28229, 27865, 22259, 28264, 18763, 2420, 20405, 3390, 4289, 20115, 24325, 18888, 27662, 4886, 18860, 18787, 28073, 28012, 20878, 27613, 5508, 5242]"
slow rainy chill day,"feelings,night/time","[21915, 18622, 19231, 19216, 18500, 21658, 3308, 19344, 20615, 12133, 3084, 25428, 21541, 24525, 19896, 19641, 6136, 13194, 4238, 4202, 3662, 13258, 18881, 23697, 15019, 15882, 2711, 5669, 23672, 12976]"
long drives and good vibes music,"movement/places,valence","[15789, 8568, 24906, 18660, 21107, 13239, 207, 18154, 8486, 15676, 11826, 23566, 228, 25727, 2369, 2943, 26050, 14577, 3020, 14752, 7111, 11195, 9764, 9253, 14237, 23445, 8681, 2735, 13755, 7371]"
party all night bangers,"danceability,energy,loudness","[4792, 28171, 5265, 27511, 27656, 28229, 18763, 27613, 20405, 3390, 27961, 5242, 4289, 28264, 27865, 3844, 20823, 4558, 18888, 28333, 20878, 22259, 20787, 4886, 27649, 28272, 5064, 20115, 5690, 28279]"
heartbreak feeling all over ,"sadness,dating","[26552, 17723, 7862, 15797, 17985, 3241, 7212, 7503, 7743, 3527, 3591, 7353, 7896, 18451, 8287, 1087, 14003, 2649, 24788, 7229, 13119, 7685, 19824, 18999, 13234, 11205, 9974, 9277, 1353, 828]"
just cried so sad songs for me,sadness,"[26552, 7212, 7503, 3527, 17985, 3591, 7353, 7896, 3241, 18451, 14003, 15797, 24788, 7229, 19824, 18999, 11205, 828, 20956, 27170, 23186, 2708, 7761, 20245, 1183, 6485, 6895, 15054, 5009, 7810]"
i need some workout energy,"energy,loudness","[16018, 13640, 16149, 15783, 27037, 16118, 16119, 16112, 13637, 27837, 26493, 26449, 16195, 26546, 16314, 945, 25951, 27040, 26483, 24243, 26529, 25972, 26320, 5140, 25881, 26365, 15985, 26768, 16265, 26183]"
slow and epic melodic instrumental ,"instrumentalness,feelings","[19402, 3662, 18500, 2204, 20050, 18646, 3033, 18730, 12976, 14228, 14146, 19216, 23676, 19807, 13529, 18297, 20290, 18995, 18811, 18333, 20125, 20331, 25479, 20720, 7519, 20058, 2491, 3538, 16201, 19968]"
love is in the air,"dating,romantic","[19238, 17106, 19964, 23862, 17150, 21685, 16869, 14107, 24781, 15649, 332, 338, 737, 26007, 19510, 1902, 18021, 14281, 23478, 377, 23598, 7907, 7332, 20914, 13903, 12600, 115, 8888, 240, 12632]"
i woke up and choose violence,"violence,energy","[16118, 25955, 19805, 19839, 3415, 25926, 24943, 25859, 20345, 24729, 15952, 16888, 25148, 26888, 26121, 16461, 20271, 24443, 20129, 16691, 3667, 25246, 16646, 16135, 25255, 2764, 20942, 25007, 19804, 20114]"
boyfriend girlfriend kind of song,dating,"[12656, 17723, 2727, 7862, 13119, 13135, 21925, 2649, 7743, 7376, 13234, 12927, 584, 194, 14943, 1063, 20999, 21177, 14922, 14107, 27893, 854, 8980, 5040, 13250, 21918, 13155, 2141, 23719, 8574]"
